round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,6,5,5,5,5,5,5,5,5,5
4,9,8,8,8,8,8,8,8,8,8
5,7,6,6,6,6,6,6,6,6,6
6,8,7,7,7,7,7,7,7,7,7
7,8,8,8,0,7,8,8,7,7,8
8,9,11,8,8,7,8,8,8,50,10
9,9,9,7,7,7,8,8,7,7,50
10,5,8,1,6,7,8,50,8,7,9
11,8,8,8,7,7,10,8,6,6,9
12,8,8,8,6,6,8,5,7,6,8
13,8,8,8,8,12,12,8,8,8,11
14,11,8,1,7,7,8,8,7,6,9
15,8,6,13,7,7,8,9,7,7,10
16,7,9,1,7,7,13,14,6,7,9
17,7,8,1,6,7,6,8,6,14,15
18,7,8,7,7,6,6,50,7,6,8
19,11,8,8,7,6,8,8,6,5,8
20,8,7,7,7,6,6,7,7,6,9
