round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,5,5,5,5,5,5,5
4,8,8,8,8,8,8,8,8,8,8
5,6,6,6,6,6,6,6,6,6,6
6,7,7,7,7,7,7,7,7,7,7
7,7,8,6,7,7,8,8,8,8,5
8,5,9,8,7,8,8,8,8,6,8
9,7,5,8,50,7,8,7,8,6,7
10,9,9,7,7,7,8,9,8,6,50
11,9,7,7,7,8,40,8,8,6,7
12,8,8,7,7,10,50,8,8,4,7
13,7,5,7,7,8,9,8,8,6,7
14,8,7,7,7,9,9,8,5,4,12
15,7,8,6,7,10,13,8,13,9,7
16,8,8,6,7,25,9,0,6,8,7
17,8,7,1,7,9,9,8,6,7,7
18,5,7,11,8,8,5,8,13,8,7
19,8,7,7,7,9,9,8,2,8,7
20,8,7,7,7,9,50,10,12,4,7
