round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,6,5,5,5,5,6,6,5,5
4,9,9,8,8,8,9,9,9,9,9
5,7,7,7,6,6,7,7,7,7,7
6,8,8,6,7,7,8,8,8,6,8
7,7,7,5,7,6,6,7,7,8,6
8,6,7,6,7,7,6,8,8,7,6
9,7,8,4,6,7,7,9,8,5,5
10,6,7,5,6,5,8,5,6,6,7
11,6,7,6,6,6,7,4,7,3,8
12,6,7,5,6,6,6,6,7,8,7
13,3,8,7,7,4,6,6,8,7,3
14,5,6,9,7,5,7,5,7,5,4
15,6,7,3,5,7,7,3,7,4,4
16,10,7,6,6,6,5,4,7,8,7
17,7,8,5,7,9,4,1,6,2,6
18,2,9,4,5,5,3,3,7,6,6
19,4,7,5,5,6,3,2,7,10,5
20,8,7,2,6,6,6,1,9,1,6
