round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,6,6,5,6,6,5,5
4,2,2,2,2,2,2,2,2,2,2
5,3,3,1,4,4,4,4,4,3,3
6,4,4,0,5,5,3,3,5,4,4
7,4,5,1,5,5,4,2,5,8,4
8,3,4,1,6,3,3,5,6,6,4
9,5,3,2,5,4,3,1,3,7,3
10,3,4,3,3,5,1,3,4,4,4
11,2,2,3,5,1,2,1,3,3,1
12,7,3,2,5,4,3,0,4,1,2
13,4,3,4,3,3,2,1,3,4,4
14,1,4,3,4,2,3,5,3,2,3
15,6,4,4,3,3,1,4,5,3,1
16,5,4,4,3,8,3,1,5,1,1
17,2,2,5,5,3,0,1,5,1,1
18,4,1,4,2,1,0,0,5,0,1
19,0,4,5,3,0,1,5,4,4,0
20,1,4,4,2,1,0,5,3,2,0
