round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,6,5,5,5,5,5,5
4,8,8,9,9,8,9,8,8,8,9
5,6,6,7,7,6,6,6,6,6,7
6,7,7,8,8,7,7,7,7,7,8
7,6,6,6,7,6,6,6,6,7,6
8,6,6,7,7,6,6,6,6,6,7
9,10,5,7,8,6,5,7,6,6,5
10,9,6,6,7,7,8,7,6,6,5
11,6,6,7,8,6,7,6,7,5,7
12,7,7,6,6,5,7,6,6,7,6
13,6,6,7,6,5,8,6,6,7,6
14,11,6,8,8,6,8,6,5,7,7
15,6,7,5,7,5,6,6,6,6,6
16,10,6,6,6,6,7,9,6,7,7
17,6,5,5,2,5,6,5,7,6,6
18,9,6,6,4,5,5,6,6,7,8
19,7,5,6,7,4,6,6,7,6,6
20,7,6,7,7,5,7,8,6,6,8
