round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,25,27,25,28,27,29,28,28,26
2,12,11,14,10,15,15,15,13,14,13
3,20,18,20,18,23,22,21,20,21,21
4,18,15,19,14,18,18,19,18,18,17
5,15,15,17,15,19,17,18,17,16,15
6,25,23,28,25,27,27,27,27,27,26
7,12,11,14,11,14,15,15,14,14,13
8,21,17,21,17,22,21,22,21,21,20
9,17,15,19,15,19,18,19,18,18,18
10,15,14,17,14,18,17,18,17,17,17
11,26,24,27,25,29,28,27,27,28,26
12,13,11,14,10,16,14,15,14,14,12
13,20,19,21,17,21,21,23,22,21,19
14,17,15,18,15,18,18,20,19,18,17
15,17,14,18,15,19,17,18,17,16,16
16,26,24,27,24,28,26,29,26,28,26
17,14,11,14,10,15,15,15,14,15,12
18,20,18,20,18,22,21,21,21,21,19
19,16,15,18,15,19,18,20,18,18,18
20,16,14,18,13,18,16,17,17,17,15
