round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,11,12,12,12,12,12,12,13,12
3,5,3,5,5,5,5,5,5,5,5
4,1,1,1,1,1,2,1,1,1,1
5,2,2,2,2,2,2,2,2,2,2
6,3,2,3,3,3,3,3,3,3,3
7,3,3,3,3,3,3,3,3,3,3
8,25,25,25,25,25,25,25,25,25,25
9,12,13,12,12,12,13,12,12,12,12
10,5,6,5,5,5,5,5,5,5,5
11,3,2,2,2,2,2,3,2,2,2
12,3,3,3,4,3,2,3,3,3,3
13,4,4,4,4,4,4,4,4,4,4
14,25,25,25,24,25,25,25,26,25,25
15,12,12,12,11,12,12,12,12,12,12
16,5,4,5,5,5,5,5,5,5,5
17,0,1,1,1,1,1,1,0,1,1
18,2,2,2,2,2,2,2,1,2,2
19,2,2,2,2,2,2,2,2,2,2
20,3,3,3,3,3,3,3,3,3,3
