round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,26,26,23,24,25,26,27,26,21
2,6,9,11,6,9,10,8,11,10,5
3,16,21,18,16,16,19,17,20,18,15
4,8,9,10,9,11,10,11,12,12,6
5,13,18,17,12,14,16,15,18,15,13
6,8,11,10,9,10,12,10,12,12,5
7,12,16,15,12,11,16,14,16,16,12
8,6,9,9,7,9,10,10,11,10,4
9,10,15,14,11,10,13,12,15,15,12
10,7,9,10,6,8,9,8,11,8,3
11,10,15,14,10,10,13,13,15,13,9
12,6,8,9,5,7,9,7,11,9,4
13,10,13,12,11,11,13,13,14,12,9
14,7,8,10,7,7,9,7,10,8,4
15,11,14,13,11,9,14,13,15,13,10
16,6,8,8,7,9,10,8,9,9,5
17,10,13,13,10,10,14,13,15,13,10
18,6,9,9,6,8,10,8,11,9,4
19,10,15,13,10,11,12,12,13,14,11
20,6,7,9,5,7,9,8,11,10,5
